"Number of Form I-821D, Consideration of Deferred Action for Childhood Arrivals",,,,,,,Trump's Presidency: Jan. 2017-Jan. 2021 & Jan. 2025-present
"Requests by Intake and Case Status, by Fiscal Year",,,,,,,
"August 15, 2012 - June 30, 2025",,,,,,,
,Requests by Intake and Case Status,,,,,,
Period,Requests Accepted1,Requests Rejected2,Total Requests Received3,Approved4,Denied5,Pending6,
Fiscal Year - Total,,,,,,,
2012 Initial,"152,430","5,396","157,826","1,684",-,"150,746",
2013 Initial,"427,611","16,355","443,966","470,596","11,019","96,729",
2014,"238,898","24,889","263,787","158,154","21,069","156,342",
2014 Initial,"122,474","19,064","141,538","135,920","21,066","62,157",
2014 Renewal,"116,424","5,825","122,249","22,234",3,"94,185",
2015,"448,846","35,502","484,348","510,329","21,437","73,324",
2015 Initial,"85,300","7,170","92,470","90,827","19,087","37,471",
2015 Renewal,"363,546","28,332","391,878","419,502","2,350","35,853",
2016,"260,701","12,317","273,018","198,809","14,551","119,789",
2016 Initial,"73,347","1,151","74,498","52,990","11,525","45,454",
2016 Renewal,"187,354","11,166","198,520","145,819","3,026","74,335",
2017,"472,850","43,455","516,305","461,908","13,190","117,453",
2017 Initial,"45,593",44,"45,637","47,132","9,161","34,701",
2017 Renewal,"427,257","43,411","470,668","414,776","4,029","82,752",
2018,"260,120","29,651","289,771","319,340","12,533","45,665",
2018 Initial,"2,060",2,"2,062","24,381","8,248","4,120",
2018 Renewal,"258,060","29,649","287,709","294,959","4,285","41,545",
2019,"386,156","22,006","408,162","387,438","4,944","39,408",
2019 Initial,"1,570",4,"1,574","1,774","1,602","2,308",
2019 Renewal,"384,586","22,002","406,588","385,664","3,342","37,100",
2020,"313,939","29,994","343,933","294,655","3,998","54,677",
2020 Initial,"4,289",6,"4,295","1,792",715,"4,085",
2020 Renewal,"309,650","29,988","339,638","292,863","3,283","50,592",
2021,"438,936","31,700","470,636","359,207","3,799","130,594",
2021 Initial,"94,216",109,"94,325","7,993","1,122","89,185",
2021 Renewal,"344,720","31,591","376,311","351,214","2,677","41,409",
2022,"286,162","18,249","304,411","295,361","2,551","118,764",
2022 Initial,"5,459",22,"5,481",2,5,"94,632",
2022 Renewal,"280,703","18,227","298,930","295,359","2,546","24,132",
2023,"333,384","14,004","347,388","304,277","1,721","146,081",
2023 Initial,"3,415",22,"3,437",2,8,"97,983",
2023 Renewal,"329,969","13,982","343,951","304,275","1,713","48,098",
2024,"264,528","15,871","280,399","289,651","1,844","119,106",
2024 Initial,"2,354",8,"2,362",-,-,"100,336",
2024 Renewal,"262,174","15,863","278,037","289,651","1,844","18,770",
2025,"233,864","11,484","245,348","221,398","1,362","130,207",
2025 Initial,"2,104",16,"2,120",-,1,"102,438",
2025 Renewal,"231,760","11,468","243,228","221,398","1,361","27,769",
Total Cumulative,"4,518,425","310,873","4,829,298","4,272,807","114,018","130,207",
Total Cumulative Initial,"1,022,222","49,369","1,071,591","835,093","83,559","102,438",
Total Cumulative Renewal,"3,496,203","261,504","3,757,707","3,437,714","30,459","27,769",
Table Key,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,
References:,,,,,,,
1The number of new requests accepted at a Lockbox during the reporting period.,,,,,,,
2The number of requests rejected at a Lockbox during the reporting period.,,,,,,,
3The number of requests received and entered into a case-tracking system during the reporting period.,,,,,,,
"4The number of requests approved during the reporting period. Initial request approvals after July 16, 2021 are reaffirmations of previous approvals.",,,,,,,
"5The number of requests denied during the reporting period. Initial request denials after July 16, 2021 are terminations, reaffirmations of previous denials, or administrative actions taken to close a case.",,,,,,,
6 The number of applications awaiting a decision as of the end of the reporting period. Some actions taken on cases are not reflected in this report such as administrative closures and,,,,,,,
transfers between offices; thus the total pending counts cannot be calculated using data from previous reporting periods.,,,,,,,
Notes:,,,,,,,
"1) Some requests approved, denied, or pending a decision may have been received in previous reporting periods.",,,,,,,
2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,
3) The Quarterly Report totals may not match the totals provided within the Demographics Reports due to differences in how the data is generated.,,,,,,,
"4) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,
Source:,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,
"CLAIMS3, ELIS, accessed 7/2025, PAER0018275",,,,,,,
